accuracy,loss,val_accuracy,val_loss,learning_rate
0.7722392678260803,0.6468664407730103,0.5,9.126169204711914,9.999999747378752e-05
0.8238113522529602,0.4842044711112976,0.5,3.1207971572875977,9.999999747378752e-05
0.8759585618972778,0.37798604369163513,0.5,4.891737937927246,9.999999747378752e-05
0.9043328166007996,0.2918701767921448,0.625,1.056886911392212,9.999999747378752e-05
0.9131518602371216,0.2693520188331604,0.875,0.3316679298877716,9.999999747378752e-05
0.922737717628479,0.22196200489997864,0.625,1.1238384246826172,9.999999747378752e-05
0.9376916885375977,0.21199838817119598,0.6875,0.8932186961174011,9.999999747378752e-05
0.9384585618972778,0.19219601154327393,0.75,0.3552912175655365,9.999999747378752e-05
0.939225435256958,0.18989233672618866,0.6875,0.682334303855896,9.999999747378752e-05
0.94804447889328,0.1661847084760666,0.625,1.3289586305618286,9.999999747378752e-05
0.9501533508300781,0.1551898717880249,0.75,0.44351252913475037,4.999999873689376e-05
0.9537960290908813,0.13911172747612,0.6875,1.1917015314102173,4.999999873689376e-05
0.9491947889328003,0.14845024049282074,0.5,8.16434097290039,4.999999873689376e-05
0.952262282371521,0.14213699102401733,0.9375,0.24126969277858734,4.999999873689376e-05
0.9524539709091187,0.15432709455490112,0.625,1.2356209754943848,4.999999873689376e-05
0.9555214643478394,0.13248556852340698,0.6875,0.8395683169364929,4.999999873689376e-05
0.9597392678260803,0.11696519702672958,0.625,1.3868839740753174,4.999999873689376e-05
0.9559049010276794,0.13505929708480835,0.6875,0.7930421233177185,4.999999873689376e-05
0.9580138325691223,0.13569499552249908,0.875,0.46364086866378784,4.999999873689376e-05
0.9616564512252808,0.11860954016447067,0.9375,0.11778613924980164,2.499999936844688e-05
